nm_mun;ano;pop_total;pop_mulher;pop_mulher_per;pop_homem;pop_homem_per;cres_pop;cor_raca_pri;porte
Água Branca (AL);2022;19.008;9.716;51,12%;9.292;48,88%;-1,9%;parda;baixo
Anadia (AL);2022;13.966;7.218;51,68%;6.748;48,32%;-19,8%;parda;baixo
Arapiraca (AL);2022;234.696;123.771;52,74%;110.925;47,26%;9,7%;parda;grande
Atalaia (AL);2022;37.512;19.246;51,31%;18.266;48,69%;-15,4%;parda;baixo
Barra de Santo Antônio (AL);2022;16.365;8.290;50,66%;8.075;49,34%;15%;parda;baixo
Barra de São Miguel (AL);2022;7.944;4.059;51,1%;3.885;48,9%;4,9%;parda;baixo
Batalha (AL);2022;16.448;8.415;51,16%;8.033;48,84%;-3,7%;parda;baixo
Belém (AL);2022;4.722;2.450;51,88%;2.272;48,12%;3,8%;parda;baixo
Belo Monte (AL);2022;5.936;2.961;49,88%;2.975;50,12%;-15,6%;parda;baixo
Boca da Mata (AL);2022;21.187;11.009;51,96%;10.178;48,04%;-17,8%;parda;baixo
Branquinha (AL);2022;9.603;4.891;50,93%;4.712;49,07%;-9,3%;parda;baixo
Cacimbinhas (AL);2022;10.482;5.371;51,24%;5.111;48,76%;2,8%;parda;baixo
Cajueiro (AL);2022;16.024;8.484;52,95%;7.540;47,05%;-21,5%;parda;baixo
Campestre (AL);2022;6.665;3.385;50,79%;3.280;49,21%;1%;parda;baixo
Campo Alegre (AL);2022;32.106;16.727;52,1%;15.379;47,9%;-36,8%;parda;baixo
Campo Grande (AL);2022;8.143;4.112;50,5%;4.031;49,5%;-9,8%;parda;baixo
Canapi (AL);2022;15.559;7.853;50,47%;7.706;49,53%;-9,8%;parda;baixo
Capela (AL);2022;15.032;7.742;51,5%;7.290;48,5%;-12%;parda;baixo
Carneiros (AL);2022;8.999;4.595;51,06%;4.404;48,94%;8,6%;parda;baixo
Chã Preta (AL);2022;5.910;2.959;50,07%;2.951;49,93%;-17,3%;parda;baixo
Coité do Nóia (AL);2022;10.810;5.434;50,27%;5.376;49,73%;-1,1%;parda;baixo
Colônia Leopoldina (AL);2022;15.816;8.145;51,5%;7.671;48,5%;-21%;parda;baixo
Coqueiro Seco (AL);2022;5.581;2.842;50,92%;2.739;49,08%;1%;parda;baixo
Coruripe (AL);2022;50.414;26.103;51,78%;24.311;48,22%;-3,3%;parda;médio
Craíbas (AL);2022;25.397;12.865;50,66%;12.532;49,34%;12,2%;parda;baixo
Delmiro Gouveia (AL);2022;51.318;26.778;52,18%;24.540;47,82%;6,7%;parda;médio
Dois Riachos (AL);2022;9.805;4.918;50,16%;4.887;49,84%;-9,9%;parda;baixo
Estrela de Alagoas (AL);2022;15.429;7.915;51,3%;7.514;48,7%;-10,6%;parda;baixo
Feira Grande (AL);2022;22.712;11.481;50,55%;11.231;49,45%;6,5%;parda;baixo
Feliz Deserto (AL);2022;3.963;1.995;50,34%;1.968;49,66%;-8,8%;parda;baixo
Flexeiras (AL);2022;9.618;4.905;51%;4.713;49%;-22%;parda;baixo
Girau do Ponciano (AL);2022;36.102;17.921;49,64%;18.181;50,36%;-1,4%;parda;baixo
Ibateguara (AL);2022;13.731;7.001;50,99%;6.730;49,01%;-9,4%;parda;baixo
Igaci (AL);2022;23.995;12.259;51,09%;11.736;48,91%;-4,7%;parda;baixo
Igreja Nova (AL);2022;21.372;10.791;50,49%;10.581;49,51%;-8,2%;parda;baixo
Inhapi (AL);2022;15.167;7.951;52,42%;7.216;47,58%;-15,3%;parda;baixo
Jacaré dos Homens (AL);2022;5.083;2.553;50,23%;2.530;49,77%;-6,1%;parda;baixo
Jacuípe (AL);2022;5.352;2.673;49,94%;2.679;50,06%;-23,5%;parda;baixo
Japaratinga (AL);2022;9.219;4.664;50,59%;4.555;49,41%;18,9%;parda;baixo
Jaramataia (AL);2022;4.985;2.565;51,45%;2.420;48,55%;-10,3%;parda;baixo
Jequiá da Praia (AL);2022;9.470;4.722;49,86%;4.748;50,14%;-21,3%;parda;baixo
Joaquim Gomes (AL);2022;17.150;8.600;50,15%;8.550;49,85%;-24%;parda;baixo
Jundiá (AL);2022;4.092;2.044;49,95%;2.048;50,05%;-2,6%;parda;baixo
Junqueiro (AL);2022;23.907;12.280;51,37%;11.627;48,63%;0,3%;parda;baixo
Lagoa da Canoa (AL);2022;18.457;9.407;50,97%;9.050;49,03%;1,1%;parda;baixo
Limoeiro de Anadia (AL);2022;24.740;12.549;50,72%;12.191;49,28%;-8,3%;parda;baixo
Maceió (AL);2022;957.916;511.792;53,43%;446.124;46,57%;2,7%;parda;grande
Major Isidoro (AL);2022;17.700;9.101;51,42%;8.599;48,58%;-6,3%;parda;baixo
Maragogi (AL);2022;32.174;16.358;50,84%;15.816;49,16%;11,9%;parda;baixo
Maravilha (AL);2022;9.534;4.806;50,41%;4.728;49,59%;-7,3%;parda;baixo
Marechal Deodoro (AL);2022;60.370;31.150;51,6%;29.220;48,4%;31,3%;parda;médio
Maribondo (AL);2022;13.679;7.051;51,55%;6.628;48,45%;0,4%;parda;baixo
Mar Vermelho (AL);2022;3.155;1.597;50,62%;1.558;49,38%;-13,6%;parda;baixo
Mata Grande (AL);2022;21.844;11.020;50,45%;10.824;49,55%;-11,6%;parda;baixo
Matriz de Camaragibe (AL);2022;23.857;12.272;51,44%;11.585;48,56%;0,3%;parda;baixo
Messias (AL);2022;15.405;8.060;52,32%;7.345;47,68%;-1,8%;parda;baixo
