city;educacao.ensino_fundamental_incompleto;educacao.ensino_fundamental_completo;educacao.ensino_medio_completo;educacao.ensino_superior_completo;educacao.alfabetizados;educacao.analfabetos
Água Branca (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Anadia (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Arapiraca (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Atalaia (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra de Santo Antônio (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Barra de São Miguel (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Batalha (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belém (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Belo Monte (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Boca da Mata (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Branquinha (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cacimbinhas (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Cajueiro (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campestre (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Alegre (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Campo Grande (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Canapi (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Capela (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Carneiros (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Chã Preta (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coité do Nóia (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Colônia Leopoldina (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coqueiro Seco (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Coruripe (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Craíbas (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Delmiro Gouveia (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Dois Riachos (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Estrela de Alagoas (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Feira Grande (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Feliz Deserto (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Flexeiras (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Girau do Ponciano (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Ibateguara (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igaci (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Igreja Nova (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Inhapi (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
Jacaré dos Homens (AL);32,63%;13,03%;33,49%;20,85%;92%;26.939
