nm_mun,2010,2020,2021,2022,2023,2024
Água Branca (AL),497,766,801,853,886,931
Anadia (AL),497,766,801,853,886,931
Arapiraca (AL),497,766,801,853,886,931
Atalaia (AL),497,766,801,853,886,931
Barra de Santo Antônio (AL),497,766,801,853,886,931
Barra de São Miguel (AL),497,766,801,853,886,931
Batalha (AL),497,766,801,853,886,931
Belém (AL),497,766,801,853,886,931
Belo Monte (AL),497,766,801,853,886,931
Boca da Mata (AL),497,766,801,853,886,931
Branquinha (AL),497,766,801,853,886,931
Cacimbinhas (AL),497,766,801,853,886,931
Cajueiro (AL),497,766,801,853,886,931
Campestre (AL),497,766,801,853,886,931
Campo Alegre (AL),497,766,801,853,886,931
Campo Grande (AL),497,766,801,853,886,931
Canapi (AL),497,766,801,853,886,931
Capela (AL),497,766,801,853,886,931
Carneiros (AL),497,766,801,853,886,931
Chã Preta (AL),497,766,801,853,886,931
Coité do Nóia (AL),497,766,801,853,886,931
Colônia Leopoldina (AL),497,766,801,853,886,931
Coqueiro Seco (AL),497,766,801,853,886,931
Coruripe (AL),497,766,801,853,886,931
Craíbas (AL),497,766,801,853,886,931
Delmiro Gouveia (AL),497,766,801,853,886,931
Dois Riachos (AL),497,766,801,853,886,931
Estrela de Alagoas (AL),497,766,801,853,886,931
Feira Grande (AL),497,766,801,853,886,931
Feliz Deserto (AL),497,766,801,853,886,931
Flexeiras (AL),497,766,801,853,886,931
Girau do Ponciano (AL),497,766,801,853,886,931
Ibateguara (AL),497,766,801,853,886,931
Igaci (AL),497,766,801,853,886,931
Igreja Nova (AL),497,766,801,853,886,931
Inhapi (AL),497,766,801,853,886,931
Jacaré dos Homens (AL),497,766,801,853,886,931
Jacuípe (AL),497,766,801,853,886,931
Japaratinga (AL),497,766,801,853,886,931
Jaramataia (AL),497,766,801,853,886,931
Jequiá da Praia (AL),497,766,801,853,886,931
Joaquim Gomes (AL),497,766,801,853,886,931
Jundiá (AL),497,766,801,853,886,931
Junqueiro (AL),497,766,801,853,886,931
Lagoa da Canoa (AL),497,766,801,853,886,931
Limoeiro de Anadia (AL),497,766,801,853,886,931
Maceió (AL),497,766,801,853,886,931
Major Isidoro (AL),497,766,801,853,886,931
Maragogi (AL),497,766,801,853,886,931
Maravilha (AL),497,766,801,853,886,931
Marechal Deodoro (AL),497,766,801,853,886,931
Maribondo (AL),497,766,801,853,886,931
Mar Vermelho (AL),497,766,801,853,886,931
Mata Grande (AL),497,766,801,853,886,931
Matriz de Camaragibe (AL),497,766,801,853,886,931
Messias (AL),497,766,801,853,886,931
Minador do Negrão (AL),497,766,801,853,886,931
Monteirópolis (AL),497,766,801,853,886,931
Murici (AL),497,766,801,853,886,931
Novo Lino (AL),497,766,801,853,886,931
Olho d'Água das Flores (AL),497,766,801,853,886,931
Olho d'Água do Casado (AL),497,766,801,853,886,931
Olho d'Água Grande (AL),497,766,801,853,886,931
Olivença (AL),497,766,801,853,886,931
Ouro Branco (AL),497,766,801,853,886,931
Palestina (AL),497,766,801,853,886,931
Palmeira dos Índios (AL),497,766,801,853,886,931
Pão de Açúcar (AL),497,766,801,853,886,931
Pariconha (AL),497,766,801,853,886,931
Paripueira (AL),497,766,801,853,886,931
Passo de Camaragibe (AL),497,766,801,853,886,931
Paulo Jacinto (AL),497,766,801,853,886,931
Penedo (AL),497,766,801,853,886,931
Piaçabuçu (AL),497,766,801,853,886,931
Pilar (AL),497,766,801,853,886,931
Pindoba (AL),497,766,801,853,886,931
Piranhas (AL),497,766,801,853,886,931
Poço das Trincheiras (AL),497,766,801,853,886,931
Porto Calvo (AL),497,766,801,853,886,931
Porto de Pedras (AL),497,766,801,853,886,931
Porto Real do Colégio (AL),497,766,801,853,886,931
Quebrangulo (AL),497,766,801,853,886,931
Rio Largo (AL),497,766,801,853,886,931
Roteiro (AL),497,766,801,853,886,931
Santa Luzia do Norte (AL),497,766,801,853,886,931
Santana do Ipanema (AL),497,766,801,853,886,931
Santana do Mundaú (AL),497,766,801,853,886,931
São Brás (AL),497,766,801,853,886,931
São José da Laje (AL),497,766,801,853,886,931
São José da Tapera (AL),497,766,801,853,886,931
São Luís do Quitunde (AL),497,766,801,853,886,931
São Miguel dos Campos (AL),497,766,801,853,886,931
São Miguel dos Milagres (AL),497,766,801,853,886,931
São Sebastião (AL),497,766,801,853,886,931
Satuba (AL),497,766,801,853,886,931
Senador Rui Palmeira (AL),497,766,801,853,886,931
Tanque d'Arca (AL),497,766,801,853,886,931
Taquarana (AL),497,766,801,853,886,931
Teotônio Vilela (AL),497,766,801,853,886,931
Traipu (AL),497,766,801,853,886,931
União dos Palmares (AL),497,766,801,853,886,931
Viçosa (AL),497,766,801,853,886,931
Abaíra (BA),497,766,801,853,886,931
Abaré (BA),497,766,801,853,886,931
Acajutiba (BA),497,766,801,853,886,931
Adustina (BA),497,766,801,853,886,931
Água Fria (BA),497,766,801,853,886,931
Érico Cardoso (BA),497,766,801,853,886,931
Aiquara (BA),497,766,801,853,886,931
Alagoinhas (BA),497,766,801,853,886,931
Alcobaça (BA),497,766,801,853,886,931
Almadina (BA),497,766,801,853,886,931
Amargosa (BA),497,766,801,853,886,931
Amélia Rodrigues (BA),497,766,801,853,886,931
América Dourada (BA),497,766,801,853,886,931
Anagé (BA),497,766,801,853,886,931
Andaraí (BA),497,766,801,853,886,931
Andorinha (BA),497,766,801,853,886,931
Angical (BA),497,766,801,853,886,931
Anguera (BA),497,766,801,853,886,931
Antas (BA),497,766,801,853,886,931
Antônio Cardoso (BA),497,766,801,853,886,931
Antônio Gonçalves (BA),497,766,801,853,886,931
Aporá (BA),497,766,801,853,886,931
Apuarema (BA),497,766,801,853,886,931
Aracatu (BA),497,766,801,853,886,931
Araçás (BA),497,766,801,853,886,931
Araci (BA),497,766,801,853,886,931
Aramari (BA),497,766,801,853,886,931
Arataca (BA),497,766,801,853,886,931
Aratuípe (BA),497,766,801,853,886,931
Aurelino Leal (BA),497,766,801,853,886,931
Baianópolis (BA),497,766,801,853,886,931
Baixa Grande (BA),497,766,801,853,886,931
Banzaê (BA),497,766,801,853,886,931
Barra (BA),497,766,801,853,886,931
Barra da Estiva (BA),497,766,801,853,886,931
Barra do Choça (BA),497,766,801,853,886,931
Barra do Mendes (BA),497,766,801,853,886,931
Barra do Rocha (BA),497,766,801,853,886,931
Barreiras (BA),497,766,801,853,886,931
Barro Alto (BA),497,766,801,853,886,931
Barrocas (BA),497,766,801,853,886,931
Barro Preto (BA),497,766,801,853,886,931
Belmonte (BA),497,766,801,853,886,931
Belo Campo (BA),497,766,801,853,886,931
Biritinga (BA),497,766,801,853,886,931
Boa Nova (BA),497,766,801,853,886,931
Boa Vista do Tupim (BA),497,766,801,853,886,931
Bom Jesus da Lapa (BA),497,766,801,853,886,931
Bom Jesus da Serra (BA),497,766,801,853,886,931
Boninal (BA),497,766,801,853,886,931
Bonito (BA),497,766,801,853,886,931
Boquira (BA),497,766,801,853,886,931
