nm_mun,2010,2020,2021,2022,2023,2024
Água Branca (AL),16.89,13.42,12.61,13.35,15.62,9.05
Anadia (AL),16.89,13.42,12.61,13.35,15.62,9.05
Arapiraca (AL),16.89,13.42,12.61,13.35,15.62,9.05
Atalaia (AL),16.89,13.42,12.61,13.35,15.62,9.05
Barra de Santo Antônio (AL),16.89,13.42,12.61,13.35,15.62,9.05
Barra de São Miguel (AL),16.89,13.42,12.61,13.35,15.62,9.05
Batalha (AL),16.89,13.42,12.61,13.35,15.62,9.05
Belém (AL),16.89,13.42,12.61,13.35,15.62,9.05
Belo Monte (AL),16.89,13.42,12.61,13.35,15.62,9.05
Boca da Mata (AL),16.89,13.42,12.61,13.35,15.62,9.05
Branquinha (AL),16.89,13.42,12.61,13.35,15.62,9.05
Cacimbinhas (AL),16.89,13.42,12.61,13.35,15.62,9.05
Cajueiro (AL),16.89,13.42,12.61,13.35,15.62,9.05
Campestre (AL),16.89,13.42,12.61,13.35,15.62,9.05
Campo Alegre (AL),16.89,13.42,12.61,13.35,15.62,9.05
Campo Grande (AL),16.89,13.42,12.61,13.35,15.62,9.05
Canapi (AL),16.89,13.42,12.61,13.35,15.62,9.05
Capela (AL),16.89,13.42,12.61,13.35,15.62,9.05
Carneiros (AL),16.89,13.42,12.61,13.35,15.62,9.05
Chã Preta (AL),16.89,13.42,12.61,13.35,15.62,9.05
Coité do Nóia (AL),16.89,13.42,12.61,13.35,15.62,9.05
Colônia Leopoldina (AL),16.89,13.42,12.61,13.35,15.62,9.05
Coqueiro Seco (AL),16.89,13.42,12.61,13.35,15.62,9.05
Coruripe (AL),16.89,13.42,12.61,13.35,15.62,9.05
Craíbas (AL),16.89,13.42,12.61,13.35,15.62,9.05
Delmiro Gouveia (AL),16.89,13.42,12.61,13.35,15.62,9.05
Dois Riachos (AL),16.89,13.42,12.61,13.35,15.62,9.05
Estrela de Alagoas (AL),16.89,13.42,12.61,13.35,15.62,9.05
Feira Grande (AL),16.89,13.42,12.61,13.35,15.62,9.05
Feliz Deserto (AL),16.89,13.42,12.61,13.35,15.62,9.05
Flexeiras (AL),16.89,13.42,12.61,13.35,15.62,9.05
Girau do Ponciano (AL),16.89,13.42,12.61,13.35,15.62,9.05
Ibateguara (AL),16.89,13.42,12.61,13.35,15.62,9.05
Igaci (AL),16.89,13.42,12.61,13.35,15.62,9.05
Igreja Nova (AL),16.89,13.42,12.61,13.35,15.62,9.05
Inhapi (AL),16.89,13.42,12.61,13.35,15.62,9.05
Jacaré dos Homens (AL),16.89,13.42,12.61,13.35,15.62,9.05
Jacuípe (AL),16.89,13.42,12.61,13.35,15.62,9.05
Japaratinga (AL),16.89,13.42,12.61,13.35,15.62,9.05
Jaramataia (AL),16.89,13.42,12.61,13.35,15.62,9.05
Jequiá da Praia (AL),16.89,13.42,12.61,13.35,15.62,9.05
Joaquim Gomes (AL),16.89,13.42,12.61,13.35,15.62,9.05
Jundiá (AL),16.89,13.42,12.61,13.35,15.62,9.05
Junqueiro (AL),16.89,13.42,12.61,13.35,15.62,9.05
Lagoa da Canoa (AL),16.89,13.42,12.61,13.35,15.62,9.05
Limoeiro de Anadia (AL),16.89,13.42,12.61,13.35,15.62,9.05
Maceió (AL),16.89,13.42,12.61,13.35,15.62,9.05
Major Isidoro (AL),16.89,13.42,12.61,13.35,15.62,9.05
Maragogi (AL),16.89,13.42,12.61,13.35,15.62,9.05
Maravilha (AL),16.89,13.42,12.61,13.35,15.62,9.05
Marechal Deodoro (AL),16.89,13.42,12.61,13.35,15.62,9.05
Maribondo (AL),16.89,13.42,12.61,13.35,15.62,9.05
Mar Vermelho (AL),16.89,13.42,12.61,13.35,15.62,9.05
Mata Grande (AL),16.89,13.42,12.61,13.35,15.62,9.05
Matriz de Camaragibe (AL),16.89,13.42,12.61,13.35,15.62,9.05
Messias (AL),16.89,13.42,12.61,13.35,15.62,9.05
Minador do Negrão (AL),16.89,13.42,12.61,13.35,15.62,9.05
